,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하,지역
96,서울 동작구 노량진동,122.5, 39 개, 39 개,X 대,5천 만원,460, 없음 ,2억7천,-선택사항- ,-선택사항-     ,5000,27000,39,460,0,38,27000,460,130,2.8,3.4,5.0,15108,15108,15108,1407,1259,1037,9804,8028,5364,817,669,447,36,29,19,동작구
97,서울 영등포구 00동,380, 57 개,  개,00 대,5000 만원,385,0,14000,-선택사항- ,-선택사항-     ,5000,14000,57,385,0,38,14000,385,190,0.8,0.9,1.2,22092,22092,22092,2057,1841,1516,17784,15192,11292,1482,1266,941,127,108,80,영등포구
98,서울 동대문구 청량리동,143.64, 22 개, 3 개,X 대,2천 만원,165, 없음 ,5천,-선택사항- ,-선택사항-     ,2000,5000,22,165,0,37,5000,165,73,0.8,0.9,1.3,8292,8292,8292,773,691,569,6420,5436,3972,535,453,331,128,108,79,동대문구
99,서울 동작구 00동,575.5, 50 개,  개,00 대,5000 만원,370,0,11500,-선택사항- ,-선택사항-     ,5000,11500,50,370,0,38,11500,370,166,0.8,0.9,1.2,19380,19380,19380,1805,1615,1330,15228,12948,9528,1269,1079,794,132,112,82,동작구
100,서울 중구 00동,284, 45 개,  개,00 대,4400 만원,320,0,10000,-선택사항- ,-선택사항-     ,4400,10000,45,320,0,41,10000,320,150,0.7,0.8,1.0,18816,18816,18816,1752,1568,1291,15384,13176,9852,1282,1098,821,153,131,98,중구
101,서울 노원구 00동,283,  개,  개,00 대,5000 만원,300,10,5000,-선택사항- ,-선택사항-     ,5000,5000,0,300,10,36,5000,310,100,0.7,0.8,1.2,11016,11016,11016,1026,918,756,7392,6096,4152,616,508,346,147,121,83,노원구
102,서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0,38,21000,510,110,3.1,3.9,6.8,12780,12780,12780,1191,1065,877,6852,5340,3084,571,445,257,32,25,14,동작구
103,서울 강동구 00동,120, 35 개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0,38,28000,550,116,3.9,5.0,8.8,13560,13560,13560,1263,1130,930,7164,5568,3168,597,464,264,25,19,11,강동구
104,서울 동대문구 00동,80평 ,  개,  개,00 대,2000 만원,300,0,15000,-선택사항- ,-선택사항-     ,2000,15000,0,300,0,37,15000,300,100,1.9,2.3,3.3,11316,11316,11316,1054,943,777,7848,6516,4524,654,543,377,52,43,30,동대문구
105,서울 광진구 00동,190평 ,  개,  개,00 대,5억 만원,600,0,8억,-선택사항- ,-선택사항-     ,50000,80000,0,600,0,39,80000,600,100,16.2,22.7,56.0,11928,11928,11928,1111,994,819,4932,3528,1428,411,294,119,6,4,1,광진구
