,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교
4070,서울 종로구 00동,302,31 개,23 개,00 대,6천,660,None,3억6천,None,None
4071,서울 구로구 00동,270,31 개,2 개,00 대,2000,150,None,5000,None,None
4072,서울 중구 00동,268.8,개,개,00 대,4000,450,20,3억5000,None,None
4073,서울 관악구 00동,210.31,24 개,개,00 대,4000,390,None,2억,None,None
4074,서울 구로구 00동,377.13,45 개,45 개,00 대,6500,650,None,2억6000,None,None
4075,서울 관악구 00동,260,37 개,27 개,00 대,3500,350,None,1억6500,None,None
4076,서울 관악구 신림동,420,67 개,44 개,없음 대,3500,310,사용량따라,6500,None,None
4077,서울 송파구 가락동,320,47 개,21 개,00 대,4천,375다포,None,1억3천,None,None
4078,서울 동대문구 00동,620,30 개,4 개,00 대,4천,450,20,3억5천,None,None
4079,서울 동대문구 00동,360,25 개,18 개,00 대,4천,360,None,1억5천,None,None
4080,서울 종로구 00동,254,44 개,44 개,00 대,8천,390,30,2억9천,None,None
4081,서울 관악구 봉천동,228.57,45 개,개,00 대,3천,400다포,None,1억6천,None,None
4082,서울 광진구 00동,509,38 개,38 개,00 대,3천,270,None,2억,None,None
4083,서울 강남구 청담동,456,35 개,35 개,00 대,5천,375다포,45,1억6천,None,None
4084,서울 송파구 00동,363,26 개,26 개,3 대,5000,480,없음,1억,None,None
4085,서울 송파구 방이동,254.6,30 개,15 개,X 대,None,None,None,2억2천,None,None
4086,서울 동작구 상도동,284,38 개,22 개,00 대,5천,485,125,1억5천,None,None
4087,서울 관악구 봉천동,240,42 개,34 개,X 대,6천,420,30만원,1억3천5백,None,None
4088,서울 마포구 신정동,300,44 개,30 개,불가 대,8000,420,없음,18500,None,None
4089,서울 중구 00동,348.41,31 개,17 개,00 대,,500,None,3억,None,None
4090,서울 중구 00동,345.6,38 개,27 개,00 대,,700,None,25000,None,None
4091,서울 동작구 노량진동,156.88,개,개,00 대,4000,490,None,2억3천만,1호선 노량진역,None
4092,서울 동작구 00동,351.25,개,개,00 대,,310,None,2억,None,None
4093,서울 영등포구 00동,108평,32 개,32 개,00 대,,363,None,1억2천,None,None
4094,서울 금천구 00동,582.84,개,개,00 대,,310,None,합,None,None
4095,서울 중구 00동,320,개,개,00 대,4500,340,None,18000,None,None
4096,서울 송파구 00동,334,개,개,00 대,6000,730,None,4억,None,None
4097,서울 서초구 00동,77평,28 개,개,00 대,,700,None,2억,None,None
4098,서울 중구 초동,205.59,42 개,42 개,없움 대,4500,340,사용량따라,19000,None,None
4099,서울 관악구 봉천동,199.8,개,개,2 대,3000,409,사용량따라,18000,None,None
4100,서울 강남구 삼성동,420.84,28 개,30 개,없음 대,8000,620,사용량따라,17000,None,None
4101,서울 관악구 남부순환로,415.8,35 개,38 개,불가 대,3000,350,15만포함,1억7천,None,None
4102,서울 동작구 상도로,265,34 개,20 개,불가 대,8000,330,10만,2억1천,None,None
4103,서울 동작구 노량진동,254,35 개,35 개,불가 대,8000,400,없음,2억5천,None,None
