,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교
2275,서울 강남구 도곡역,300 , 40 개, 0 개,1 대,3500 만원, 290 , 30 ,8천,-선택사항- ,-선택사항-     
2276,서울 종로구 종로동,390 , 55 개, 33 개,1 대,7천 만원, 590 , 40 ,권리금8천,-선택사항- ,-선택사항-     
2277,서울 종로구 종로동,440 , 50 개, 50 개,1 대,6천 만원, 640 , 40 ,합3억,-선택사항- ,-선택사항-     
2278,서울 서초구 00,290.3.5 , 29 개,  개,1 대,5000 만원, 500 , 별도 ,1억2천,-선택사항- ,-선택사항-     
2279,서울 관악구 신림동,302.95 , 37 개, 10 개,00 대,8000 만원, 363 , 00 ,1억7천,-선택사항- ,-선택사항-     
2280,서울 마포구 00,543.28 , 54 개,  개,00 대,1억5천 만원, 954 , 별도 ,2억3천,-선택사항- ,-선택사항-     
2281,서울 송파구 00동,90평 , 39 개,  개,00 대,2000 만원, 295 , 00 ,10000,-선택사항- ,-선택사항-     
2282,서울 서초구 서초동,404.23 , 50 개, 27 개,00 대,8500 만원, 520 , 별도 ,2억3천,-선택사항- ,-선택사항-     
2283,서울 송파구 송파동,300 , 40 개, 0 개,1 대,2천 만원, 290 , 30 ,합9천,-선택사항- ,-선택사항-     
2284,서울 양천구 목동,310.5 , 34 개, 25 개,5 대,9천 만원, 360 , 100만원 ,2억,-선택사항- ,-선택사항-     
2285,서울 영등포구 영등포동,194.19 , 39 개, 38 개,1 대,1억 만원, 665 , 포함 ,1억7천,-선택사항- ,-선택사항-     
2286,서울 관악구 신림동,240.85 , 27 개, 16 개,X 대,4천 만원, 245 , 45만원 ,1억5천,-선택사항- ,-선택사항-     
2287,서울 중랑구 00동,* ,  개,  개,00 대, 만원, 320 , 00 ,10000,-선택사항- ,-선택사항-     
2288,서울 종로구 00동,* ,  개,  개,00 대, 만원, 370 , 00 ,19000,-선택사항- ,-선택사항-     
2289,서울 동대문구 00동,* ,  개,  개,00 대, 만원, * , 00 ,20000,-선택사항- ,-선택사항-     
2290,서울 동대문구 00동,535 , 61 개,  개,00 대, 만원, 738 , 00 ,1억5천,-선택사항- ,-선택사항-     
2291,서울 양천구 00동,80평 , 42 개, 4 개,노 대,3500 만원, 330 , 15만원 ,11000,5호선 목동역,-선택사항-     
2292,서울 서대문구 창천동,238.78 , 37 개, 37 개,00 대,3600 만원, 495 , 없음 ,2억,-선택사항- ,-선택사항-     
2293,서울 동작구 00동,217 ,  개,  개,00 대, 만원, 200 , 00 ,6천,-선택사항- ,-선택사항-     
2294,서울 동작구 노량진동,96.17 , 36 개, 36 개,X 대,8천 만원, 450 , 없음 ,2억5천,-선택사항- ,-선택사항-     
2295,서울 강남구 00동,100평 , 39 개, 38 개,노 대,9000 만원, 524 , 노 ,35000,2호선 강남역,-선택사항-     
2296,서울 영등포구 00동,299.53 , 상담 개,  개,00 대,4000 만원, 420 , 00 ,22000,-선택사항- ,-선택사항-     
2297,서울 서초구 00동,302.4 , 34 개, 27 개,없음 대,5000 만원, 422 , 포함 ,2억4천,-선택사항- ,-선택사항-     
2298,서울 동작구 00동,376.86 , 상담 개,  개,00 대,4000 만원, 500 , 00 ,21000,-선택사항- ,-선택사항-     
2299,서울 동대문구 00동,295.2 , 37 개, 13 개,2 대,4000 만원, 360 , 60 ,12500,-선택사항- ,-선택사항-     
2300,서울 동대문구 00동,295.2 , 37 개, 13 개,2 대,4000 만원, 360 , 60 ,12500,-선택사항- ,-선택사항-     
2301,서울 동대문구 00동,342.54 , 40 개, 2 개,없음 대,3200 만원, 340 , 포함 ,1억1천,-선택사항- ,-선택사항-     
2302,서울 관악구 신림동,227.11 , 35 개, 5 개,00 대,5000 만원, 330 , 00 ,1억7천,-선택사항- ,-선택사항-     
2303,서울 동대문구 00동,342 ,  개,  개,00 대,3200 만원, 400 , 사용량에 따라 부과 ,1억,-선택사항- ,-선택사항-     
2304,서울 관악구 00동,350 , 47 개,  개,00 대,3천 만원, 320 , 30 ,1억6천5백,-선택사항- ,-선택사항-     
2305,서울 동대문구 00동,370 , 38 개, 38 개,00 대,5천 만원, 470 , 30 ,3억,-선택사항- ,-선택사항-     
2306,서울 영등포구 00동,462 , 40 개, 40 개,3 대,5천 만원, 420 , 30 ,4억,-선택사항- ,-선택사항-     
2307,서울 동작구 00동,328 , 35 개, 35 개,00 대,1억5천 만원, 470 , 30 ,3억2천,-선택사항- ,-선택사항-     
2308,서울 구로구 00동,294 , 29 개, 29 개,00 대,4천 만원, 300 , 00 ,2억6천,-선택사항- ,-선택사항-     
2309,서울 서대문구 00동,120 , 42 개,  개,00 대,5000 만원, 450 , 00 ,28000,-선택사항- ,-선택사항-     
2310,서울 강남구 00동,100 , 34 개,  개,00 대,7000 만원, 600 , 00 ,24000,-선택사항- ,-선택사항-     
2311,서울 관악구 00동,380 , 47 개, 18 개,00 대,3500 만원, 350 , 00 ,1억6500,-선택사항- ,-선택사항-     
2312,서울 중구 00동,400 , 55 개, 35 개,00 대,7000 만원, 620 , 00 ,1억5000,-선택사항- ,-선택사항-     
2313,서울 동작구 00동,420 , 36 개, 36 개,00 대,5000 만원, 400 , 00 ,2억3000,-선택사항- ,-선택사항-     
2314,서울 영등포구 00동,360 , 40 개, 20 개,00 대,5000 만원, 400 , 00 ,1억5500,-선택사항- ,-선택사항-     
2315,서울 구로구 00동,280 , 24 개,  개,00 대,2000 만원, 150 , 00 ,2300,-선택사항- ,-선택사항-     
2316,서울 동작구 00동,381.76 , 54 개, 29 개,없음 대,9000 만원, 515 , 없음 ,36000,-선택사항- ,-선택사항-     
2317,서울 동대문구 00동,210.31 , 31 개, 4 개,00 대,3천 만원, 240 , 없음 ,1억,-선택사항- ,-선택사항-     
2318,서울 서초구 서초동,425.84 , 43 개, 43 개,불가 대,9000 만원, 820 , 없음 ,1억8천,-선택사항- ,-선택사항-     
2319,서울 종로구 삼일대로,407 , 43 개, 43 개,불가 대,5000 만원, 640 , 없음 ,3억4천,-선택사항- ,-선택사항-     
2320,서울 동대문구 00동,340 , 31 개, 31 개,1 대,3000 만원, 310 , 00 ,2억,-선택사항- ,-선택사항-     
2321,서울 동작구 00동,217 , 33 개,  개,00 대,3천 만원, 200 , 00 ,6천,-선택사항- ,-선택사항-     
2322,서울 종로구 00동,250 , 36 개,  개,00 대,8천 만원, 520 , 없음 ,1억8천,-선택사항- ,-선택사항-     
2323,서울 동대문구 제기동,410 , 39 개, 39 개,1 대,5천 만원, 470 , 30 ,합3억,-선택사항- ,-선택사항-     
2324,서울 구로구 구로동,440 , 42 개, 42 개,1 대,5천 만원, 520 , 30 ,합3억2천,-선택사항- ,-선택사항-     
2325,서울 강남구 도곡역,300 , 40 개, 0 개,1 대,3500 만원, 295 , 30 ,합8천,-선택사항- ,-선택사항-     
2326,서울 성동구 한양대역,440 , 40 개, 40 개,1 대,4천 만원, 470 , 66 ,합3억4천,-선택사항- ,-선택사항-     
2327,서울 구로구 00동, 110평 , 45 개, 34 개,노 대,9000 만원, 650 , 노 ,28000,1호선 노량진역,-선택사항-     
2328,서울 성북구 00동,85평 ,  개,  개,00 대,4000 만원, 220 , 00 ,9000,-선택사항- ,-선택사항-     
2329,서울 서초구 00동,181 , 31 개, 31 개,00 대,6000 만원, 500 , 없음 ,17000,-선택사항- ,-선택사항-     
2330,서울 송파구 00동,302. , 40 개, 19 개,00 대,6000 만원, 484 , 120 ,21000,-선택사항- ,-선택사항-     
2331,서울 영등포구 00동,268.8 , 31 개, 24 개,없음 대,4000 만원, 280 , 35 ,22000,-선택사항- ,-선택사항-     
2332,서울 성북구 00동,223.65 , 28 개, 17 개,없음 대,4000 만원, 200 , 없음 ,18000,-선택사항- ,-선택사항-     
2333,서울 동작구 00동,217.32 , 33 개, 2 개,없음 대,3000 만원, 200 , 없음 ,6000,-선택사항- ,-선택사항-     
2334,서울 종로구 00동,377.13 , 44 개, 44 개,없음 대,6000 만원, 660 , 없음 ,3억7천,-선택사항- ,-선택사항-     
2335,서울 영등포구 당산동1가,249.9 , 40 개, 2 개,00 대,3000 만원, 240 , 10 ,1억1천,-선택사항- ,-선택사항-     
2336,서울 동작구 대방,393.12 , 42 개, 25 개,00 대,7000 만원, 430 , 7 ,2억5천,-선택사항- ,-선택사항-     
2337,서울 동작구 상도,217.32 , 34 개, 4 개,00 대,3000 만원, 200 , 00 ,6천,-선택사항- ,-선택사항-     
2338,서울 동작구 본동,372.11 , 45 개, 4 개,00 대,5000 만원, 330 , 00 ,1억2천,-선택사항- ,-선택사항-     
2339,서울 중구 00동,380 , 42 개, 42 개,00 대,6천 만원, 580 , 50 ,3억7천,-선택사항- ,-선택사항-     
2340,서울 중랑구 00동,298 , 31 개, 31 개,00 대,4천 만원, 300 , 00 ,2억,-선택사항- ,-선택사항-     
2341,서울 동대문구 00동,509 , 44 개, 44 개,00 대,4천 만원, 440 , 30 ,3억5천,-선택사항- ,-선택사항-     
2342,서울 성동구 00동,376 , 40 개, 40 개,00 대,4천 만원, 480 , 50 ,3억4천,-선택사항- ,-선택사항-     
2343,서울 동대문구 00동,370 , 38 개, 38 개,00 대,5천 만원, 470 , 30 ,3억,-선택사항- ,-선택사항-     
2344,서울 영등포구 00동,429 , 42 개, 0 개,00 대,5000 만원, 540 , 00 ,,-선택사항- ,-선택사항-     
2345,서울 영등포구 00동,330 , 39 개, 0 개,00 대,3500 만원, 200 , 00 ,,-선택사항- ,-선택사항-     
2346,서울 강남구 00동,100 , 33 개,  개,00 대,7000 만원, 600 , 00 ,24000,-선택사항- ,-선택사항-     
2347,서울 관악구 00동,360 , 37 개, 0 개,00 대,5000 만원, 440 , 00 ,2억,-선택사항- ,-선택사항-     
2348,서울 서대문구 00동,120 , 42 개,  개,00 대,5000 만원, 450 , 00 ,28000,-선택사항- ,-선택사항-     
2349,서울 중구 00동,500 , 45 개, 44 개,1 대,4000 만원, 450 , 20 ,35000,-선택사항- ,-선택사항-     
2350,서울 동대문구 00동,000000 ,  개,  개,00 대,3000 만원, 300 , 00 ,11000,-선택사항- ,-선택사항-     
2351,서울 성북구 00동,00000 ,  개,  개,00 대, 만원, 250 , 00 ,8000,-선택사항- ,-선택사항-     
2352,서울 중구 00동,000 ,  개,  개,00 대,3000 만원, 275 , 00 ,26000,-선택사항- ,-선택사항-     
