고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하
서울 강남구 양재동,398, 35 개, 35 개,3 대,5000 만원,700,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,700,0,48,28000,48,116,3.1,3.6,4.6,9768,9768,9768,910,814,670,8952,7800,6072,746,650,506,31,27,21
서울 서대문구 00동,. , ☎ 개, . 개,. 대,. 만원, . , . ,4억8천,2호선 신촌역,-선택사항-     ,0,48000,0,0,0,39,48000,48,116,3.1,3.6,4.6,9768,9768,9768,910,814,670,8952,7800,6072,746,650,506,31,27,21
서울 관악구 00동,. , 39 개, . 개,. 대,. 만원, . , . ,1억9천,2호선 구로디지털역,-선택사항-     ,0,19000,39,0,0,33,19000,33,130,2.7,3.1,4,8064,8064,8064,752,672,554,7068,6108,4692,589,509,391,37,32,24
서울 서대문구 00동,. , 35 개, . 개,. 대,. 만원, . , . ,9천,2호선 신촌역,-선택사항-     ,0,9000,35,0,0,39,9000,39,116,3.7,4.6,7,3816,3816,3816,356,318,262,2412,1956,1284,201,163,107,26,21,14
서울 강남구 00동,. , 36 개, . 개,. 대,. 만원, . , . ,3억2천,2호선 역삼역,-선택사항-     ,0,32000,36,0,0,48,32000,48,120,2.4,2.8,3.5,13596,13596,13596,1266,1133,933,13176,11580,9180,1098,965,765,41,36,28
서울 동작구 00동,. , 30 개, . 개,. 대,. 만원, . , . ,3억1천,9호선 노량진역,-선택사항-     ,0,31000,30,0,0,38,31000,38,100,2.4,2.7,3.4,13164,13164,13164,1227,1097,904,13068,11508,9192,1089,959,766,42,37,29
서울 광진구 중곡동,187, 42 개, 4 개,3 대,4000 만원,250, 없음 ,8000,-선택사항- ,-선택사항-     ,4000,8000,42,250,0,39,8000,39,140,-31.7,-17.5,-10.6,1692,1692,1692,158,141,116,-252,-456,-756,-21,-38,-63,-3,-5,-9
서울 강서구 공항동,220, 31 개,  개,1 대,5000 만원,160,0,7천만,5호선 송정역,-선택사항-     ,5000,7000,31,160,0,34,7000,34,103,-10.1,-8.7,-7.4,840,840,840,79,70,58,-696,-804,-948,-58,-67,-79,-9,-11,-13
서울 동대문구 이문동,489, 36 개, 37 개,4 대,7000 만원,25000, 없슴 ,25000,-선택사항- ,-선택사항-     ,7000,25000,36,25000,0,37,25000,37,120,3.8,4.3,5.7,7644,7644,7644,712,637,525,6660,5760,4416,555,480,368,26,23,17
서울 강동구 00동,390, 35 개, 35 개,1 대,5000 만원,580,0,27000,-선택사항- ,-선택사항-     ,5000,27000,35,580,0,38,27000,38,116,3.1,3.6,4.6,9348,9348,9348,870,779,641,8592,7500,5844,716,625,487,31,27,21
