고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리
서울 관악구 00동,300, 35 개,  개,00 대,3000 만원,250,0,7000,-선택사항- ,-선택사항-     ,3000,7000,35,250,0
서울 강동구 00동,300, 30↑ 개,  개,00 대,3천 만원,350,0,1억5천,5호선 명일역,-선택사항-     ,3000,15000,30,350,0
서울 구로구 00동,340, 40 개, 27 개,1 대,4000 만원,380,0,17000,-선택사항- ,-선택사항-     ,4000,17000,40,380,0
서울 종로구 00동,400, 55 개, 42 개,1 대,9000 만원,580,50,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50
서울 강동구 00동,390, 35 개, 35 개,1 대,5000 만원,580,0,27000,-선택사항- ,-선택사항-     ,5000,27000,35,580,0
서울 서대문구 00동,. , 35 개, . 개,. 대,. 만원, . , . ,9천,2호선 신촌역,-선택사항-     ,0,9000,35,0,0
서울 마포구 00동,. , 50 개, . 개,. 대,. 만원, . , . ,2억4천5백,2호선 홍대입구역,-선택사항-     ,0,24500,50,0,0
서울 구로구 00동,. , 39 개, . 개,. 대,. 만원, . , . ,4억6천,7호선 가산디지털역,-선택사항-     ,0,46000,39,0,0
서울 영등포구 00동,. , 40 개, . 개,. 대,. 만원, . , . ,1억1천,9호선 당산역,-선택사항-     ,0,11000,40,0,0
서울 강동구 00동,300, 60↓ 개,  개,00 대,5천 만원,330,0,1억2천,-선택사항- ,-선택사항-     ,5000,12000,60,330,0
서울 강서구 00동,260,  개,  개,00 대,2000 만원,100, 사용량에 따라 부과 ,5000,-선택사항- ,-선택사항-     ,2000,5000,0,100,0
서울 마포구 동교동,540, 50 개, 50 개,1 대,1억 만원,770,100,합4억3천,-선택사항- ,-선택사항-     ,10000,43000,50,770,100
서울 동작구 00동,328, 35 개, 35 개,00 대,1억5천 만원,470,30,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30
서울 강남구 00동,460, 48 개, 48 개,00 대,1억 만원,790,50,4억2천,-선택사항- ,-선택사항-     ,10000,42000,48,790,50
서울 송파구 00동,290, 30 개, 30 개,00 대,4천 만원,390,50,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,390,50
서울 성북구 00동,490, 47 개, 47 개,00 대,5천 만원,680,50,3억2천,-선택사항- ,-선택사항-     ,5000,32000,47,680,50
서울 노원구 00동,280,  개,  개,00 대, 만원,300, 10만 ,5000,-선택사항- ,-선택사항-     ,0,5000,0,300,10
서울 강북구 00동,334, 31 개, 31 개,00 대,7000 만원,440,0,2억4천,-선택사항- ,-선택사항-     ,7000,24000,31,440,0
서울 중구 00동,430, 37 개, 37 개,00 대,8000 만원,530,0,3억5천,-선택사항- ,-선택사항-     ,8000,35000,37,530,0
서울 송파구 00동,330, 36 개, 21 개,00 대,6000 만원,500,0,2억4천,-선택사항- ,-선택사항-     ,6000,24000,36,500,0
서울 영등포구 00동,358, 43 개, 13 개,00 대,6000 만원,400,0,1억6천,-선택사항- ,-선택사항-     ,6000,16000,43,400,0
서울 서초구 00동,332, 40 개,  개,00 대,6천 만원,470,50,1억9천5백,-선택사항- ,-선택사항-     ,6000,19500,40,470,50
서울 구로구 00동,462, 41 개, 41 개,00 대,5천 만원,420,30,4억1천,-선택사항- ,-선택사항-     ,5000,41000,41,420,30
서울 강서구 00동,322.7, 41 개, 9 개,없음 대,3000 만원,300,15,11500,-선택사항- ,-선택사항-     ,3000,11500,41,300,15
서울 영등포구 00동,300, 34 개,  개,00 대,7천 만원,380,0,1억6천,-선택사항- ,-선택사항-     ,7000,16000,34,380,0
서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0
서울 종로구 00동,400, 55 개, 42 개,1 대,9000 만원,580,50,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50
서울 관악구 00동,330, 36 개, 25 개,00 대,4000 만원,450,0,2억,-선택사항- ,-선택사항-     ,4000,20000,36,450,0
서울 강동구 00동,390, 35 개, 35 개,1 대,5000 만원,580,0,27000,-선택사항- ,-선택사항-     ,5000,27000,35,580,0
서울 강남구 서초동,390, 40 개, 25 개,1 대,6천 만원,480,40,합1억9500,-선택사항- ,-선택사항-     ,6000,19500,40,480,40
서울 광진구 00동,. ,  개,  개,00 대, 만원,580,0,2억,-선택사항- ,-선택사항-     ,0,20000,0,580,0
서울 동작구 00동,. ,  개,  개,00 대, 만원,392,0,2억,-선택사항- ,-선택사항-     ,0,20000,0,392,0
서울 중랑구 상봉동,370, 30 개, 큰30 개,1 대,5천 만원,380,20,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,380,20
서울 동작구 동작동,440, 24 개, 큰24 개,1 대,8천 만원,280,30,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,30
서울 강동구 서초동,390, 28 개, 28 개,1 대,7천 만원,510,40,합2억2천,-선택사항- ,-선택사항-     ,7000,22000,28,510,40
서울 서대문구 00동,450, 40 개,  개,00 대,5000 만원,410,0,21000,-선택사항- ,-선택사항-     ,5000,21000,40,410,0
서울 관악구 00동,350, 38 개,  개,00 대,5000 만원,400,0,18000,-선택사항- ,-선택사항-     ,5000,18000,38,400,0
서울 광진구 00동,373.94, 42 개,  개,00 대,4000 만원,475, 60만원 ,34000,-선택사항- ,-선택사항-     ,4000,34000,42,475,60
서울 광진구 건대,410, 42 개, 42 개,1 대,4천 만원,475,60,합3억3천,-선택사항- ,-선택사항-     ,4000,33000,42,475,60
서울 서초구 00동,404.24, 50 개, 31 개,4 대,8500 만원,520, 51만원 ,23000,-선택사항- ,-선택사항-     ,8500,23000,50,520,51
서울 강남구 00동,246, 28 개, 14 개,없음 대,5500 만원,480, 7만 ,16000,-선택사항- ,-선택사항-     ,5500,16000,28,480,7
서울 구로구 00동,500,  개,  개,00 대,7000 만원,450, 사용량에 따라 부과 ,1억3000,-선택사항- ,-선택사항-     ,7000,13000,0,450,0
서울 강남구 00동,300, 29 개,  개,00 대,6000 만원,500,0,26000,-선택사항- ,-선택사항-     ,6000,26000,29,500,0
서울 동작구 00동,423.14, 54 개,  개,없음 대,4000 만원,500, 없음 ,22000,-선택사항- ,-선택사항-     ,4000,22000,54,500,0
서울 강남구 00동,200~ , 19 개,  개,00 대,5000 만원,300,0,21000,-선택사항- ,-선택사항-     ,5000,21000,19,300,0
서울 강남구 00동,330, 37 개,  개,00 대,5000 만원,638,0,24000,-선택사항- ,-선택사항-     ,5000,24000,37,638,0
서울 강남구 00동,322.56, 48 개,  개,00 대,8000 만원,1100, 없음 ,47000,-선택사항- ,-선택사항-     ,8000,47000,48,1100,0
서울 강서구 00동,199.02, 50 개,  개,00 대,8000 만원,390, 110만원 ,17000,-선택사항- ,-선택사항-     ,8000,17000,50,390,110
서울 동작구 00동,423.14, 53 개,  개,00 대,4000 만원,500, 없음 ,21000,-선택사항- ,-선택사항-     ,4000,21000,53,500,0
서울 종로구 00동,300, 30 개, 30 개,00 대,3천 만원,220,20,합3억,-선택사항- ,-선택사항-     ,3000,30000,30,220,20
서울 종로구 00동,90, 28 개, 4 개,노 대,4000 만원,220,  노 ,13500,4호선 ,-선택사항-     ,4000,13500,28,220,0
서울 서초구 00동,320, 27 개, 27 개,00 대,8000 만원,540,0,2억4천,-선택사항- ,-선택사항-     ,8000,24000,27,540,0
서울 영등포구 00동,420, 35 개, 35 개,00 대,8000 만원,550,0,3억3천,-선택사항- ,-선택사항-     ,8000,33000,35,550,0
서울 중구 00동,281.55,  개,  개,00 대,5000 만원,443,0,29000,-선택사항- ,-선택사항-     ,5000,29000,0,443,0
서울 강북구 미아동,380.88, 50 개, 8 개,X 대,5천 만원,308, 63만원 ,1억2천,-선택사항- ,-선택사항-     ,5000,12000,50,308,63
서울 금천구 00동,135,  개,  개,00 대,2000 만원,272,0,14000,-선택사항- ,-선택사항-     ,2000,14000,0,272,0
서울 서대문구 00동,250.25, 25 개,  개,00 대,1500 만원,180,0,8,-선택사항- ,-선택사항-     ,1500,80000,25,180,0
서울 강남구 00동,330, 35 개, 20 개,00 대,6000 만원,480,0,2억1천,-선택사항- ,-선택사항-     ,6000,21000,35,480,0
서울 서초구 서초동,203.7, 40 개, 26 개,2 대,6천 만원,575, 없음 ,2억,-선택사항- ,-선택사항-     ,6000,20000,40,575,0
서울 관악구 00동,220, 36 개,  개,00 대,5000 만원,330,0,18000,-선택사항- ,-선택사항-     ,5000,18000,36,330,0
서울 종로구 을지로3가,123.71, 40 개, 40 개,X 대,7천 만원,600, 포함 ,3억7천,-선택사항- ,-선택사항-     ,7000,37000,40,600,0
서울 관악구 00동,330, 38 개, 0 개,00 대,7000 만원,320,0,1억5500,-선택사항- ,-선택사항-     ,7000,15500,38,320,0
서울 강남구 00동,396, 40 개, 0 개,00 대,6000 만원,520,0,2억,-선택사항- ,-선택사항-     ,6000,20000,40,520,0
서울 종로구 00동,100, 36 개,  개,00 대,8000 만원,450,0,18000,-선택사항- ,-선택사항-     ,8000,18000,36,450,0
서울 강동구 00동,120, 35 개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0
서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
서울 강서구 화곡동,189.12, 35 개, 6 개,00 대,3000 만원,290,0,10000,-선택사항- ,-선택사항-     ,3000,10000,35,290,0
서울 강동구 00동,370, 57 개,  개,00 대,5000 만원,330,0,14000,-선택사항- ,-선택사항-     ,5000,14000,57,330,0
서울 강서구 등촌동,398.04, 60 개, 8 개,00 대,8000 만원,390,110,16000,-선택사항- ,-선택사항-     ,8000,16000,60,390,110
서울 금천구 시흥동,371.44, 44 개, 7 개,00 대,5000 만원,400,70,11000,-선택사항- ,-선택사항-     ,5000,11000,44,400,70
서울 영등포구 도림동,246.04, 45 개, 7 개,00 대,3000 만원,260,0,9000,-선택사항- ,-선택사항-     ,3000,9000,45,260,0
서울 영등포구 당산동1가,249.9, 40 개, 7 개,00 대,3000 만원,240,10,10000,-선택사항- ,-선택사항-     ,3000,10000,40,240,10
서울 서대문구 00동,450, 41 개, 43 개,3 대,4000 만원,450, 없음 ,2억,-선택사항- ,-선택사항-     ,4000,20000,41,450,0
서울 중구 00동,130평 ,  개,  개,00 대,3000 만원,420,0,25000,-선택사항- ,-선택사항-     ,3000,25000,0,420,0
서울 영등포구 00동,80평 ,  개,  개,00 대,7000 만원,380,0,16000,-선택사항- ,-선택사항-     ,7000,16000,0,380,0
서울 강서구 00동,100평 ,  개,  개,00 대,9000 만원,473,0,17000,-선택사항- ,-선택사항-     ,9000,17000,0,473,0
서울 강남구 00동,. , 29 개, . 개,. 대,. 만원, . , . ,2억,2호선 강남역,-선택사항-     ,0,20000,29,0,0
서울 영등포구 00동,80평 ,  개,  개,00 대,3000 만원,240,0,11000,-선택사항- ,-선택사항-     ,3000,11000,0,240,0
서울 마포구 00동,200평 ,  개,  개,00 대,7,['000 만원'],None,46,-선택사항- ,-선택사항-     ,7000,46000,0,0,0
서울 금천구 00동,330, 47 개,  개,00 대,5천 만원,440,20,1억6천,-선택사항- ,-선택사항-     ,5000,16000,47,440,20
서울 동작구 00동,180, 24 개,  개,00 대,5000 만원,250,0,14000,-선택사항- ,-선택사항-     ,5000,14000,24,250,0
서울 강서구 00동,440, 40 개,  개,00 대,5000 만원,330,0,14000,-선택사항- ,-선택사항-     ,5000,14000,40,330,0
서울 강동구 00동,240, 31 개,  개,00 대,3000 만원,200,0,8000,-선택사항- ,-선택사항-     ,3000,8000,31,200,0
서울 강동구 00동,250, 30 개,  개,00 대,3000 만원,350,0,16000,-선택사항- ,-선택사항-     ,3000,16000,30,350,0
서울 강동구 00동,260, 32 개,  개,00 대,3000 만원,350,0,15000,-선택사항- ,-선택사항-     ,3000,15000,32,350,0
서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0
서울 구로구 00동,340, 40 개, 27 개,1 대,4000 만원,380,0,17000,-선택사항- ,-선택사항-     ,4000,17000,40,380,0
서울 종로구 00동,400, 55 개, 42 개,1 대,9000 만원,580,50,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50
서울 동작구 00동,334, 31 개, 31 개,00 대,4000 만원,392, 없음 ,2억,-선택사항- ,-선택사항-     ,4000,20000,31,392,0
서울 영등포구 00동,157.7, 40 개, 20 개,00 대,5000 만원,400, 없음 ,1억,-선택사항- ,-선택사항-     ,5000,10000,40,400,0
서울 동작구 00동,278, 38 개, 38 개,00 대,5000 만원,460, 없음 ,2억,-선택사항- ,-선택사항-     ,5000,20000,38,460,0
서울 양천구 00동,390, 40 개,  개,00 대,4000 만원,370,0,14000,-선택사항- ,-선택사항-     ,4000,14000,40,370,0
서울 종로구 00동,360, 38 개,  개,00 대,6000 만원,420,0,25000,-선택사항- ,-선택사항-     ,6000,25000,38,420,0
서울 종로구 영등포동,500, 50 개, 원50 개,1 대,* 만원,690,50,합3억1천,-선택사항- ,-선택사항-     ,0,31000,50,690,50
서울 영등포구 영등포동,370, 40 개, 원13 개,1 대,2500 만원,190,20,합1억7천,-선택사항- ,-선택사항-     ,2500,17000,40,190,20
서울 강남구 서초동,390, 40 개, 원25 개,1 대,8천 만원,490,40,합1억9500,-선택사항- ,-선택사항-     ,8000,19500,40,490,40
서울 광진구 중곡동,330, 34 개, 원17 개,1 대,5천 만원,360,30,합1억2천,-선택사항- ,-선택사항-     ,5000,12000,34,360,30
서울 송파구 00동,313, 30 개, 30 개,00 대,5천 만원,370,30,3억3천,-선택사항- ,-선택사항-     ,5000,33000,30,370,30
서울 강북구 00동,244,  개,  개,00 대,3000 만원,346,0,1억4000,-선택사항- ,-선택사항-     ,3000,14000,0,346,0
서울 중구 00동,280.35, 28 개, 0 개,00 대,3000 만원,275,0,26000,-선택사항- ,-선택사항-     ,3000,26000,28,275,0
서울 중랑구 00동,150,  개,  개,00 대, 만원,190, 5만원 ,7500,-선택사항- ,-선택사항-     ,0,7500,0,190,5
서울 동작구 00동,217,  개,  개,00 대,3000 만원,200, 없음 ,3000,-선택사항- ,-선택사항-     ,3000,3000,0,200,0
서울 중구 00동,224.85, 35 개, 0 개,16 대,5000 만원,443,0,19000,-선택사항- ,-선택사항-     ,5000,19000,35,443,0
서울 노원구 00동,280,  개,  개,00 대,5000 만원,300,10,5000,-선택사항- ,-선택사항-     ,5000,5000,0,300,10
서울 광진구 00동,290,  개, 29 개,1 대,4000 만원,400,0,18000,-선택사항- ,-선택사항-     ,4000,18000,0,400,0
서울 동대문구 00동,290,  개,  개,00 대,3000 만원,210,0,8000,-선택사항- ,-선택사항-     ,3000,8000,0,210,0
서울 서초구 양재동,360, 35 개, 16 개,없음 대,3200 만원,390, 별도 ,25000,-선택사항- ,-선택사항-     ,3200,25000,35,390,0
서울 종로구 00동,288.58, 36 개,  개,00 대,11000 만원,594,0,32000,-선택사항- ,-선택사항-     ,11000,32000,36,594,0
서울 구로구 구로동,630, 95 개, 0 개,1 대,8천 만원,550,30,권리금3천,-선택사항- ,-선택사항-     ,8000,3000,95,550,30
서울 마포구 00동,352.52, 36 개,  개,없음 대,5000 만원,500, 사용량에 따라 ,26000,-선택사항- ,-선택사항-     ,5000,26000,36,500,0
서울 마포구 00동,292.97, 38 개,  개,00 대,9000 만원,277, 150만원 ,27000,-선택사항- ,-선택사항-     ,9000,27000,38,277,150
서울 중구 00동,280, 36 개,  개,00 대,6000 만원,400,0,18000,-선택사항- ,-선택사항-     ,6000,18000,36,400,0
서울 광진구 00동,293, 43 개,  개,4 대,6000 만원,400,0,19000,-선택사항- ,-선택사항-     ,6000,19000,43,400,0
서울 종로구 숭인동,235.14, 20 개, 20 개,X 대,6천 만원,330, 40만원 ,1억6천5백,-선택사항- ,-선택사항-     ,6000,16500,20,330,40
서울 종로구 00동,280, 35 개,  개,1 대,3000 만원,280,0,85000,-선택사항- ,-선택사항-     ,3000,85000,35,280,0
서울 성북구 삼선동,102.35, 35 개, 5 개,X 대,4천 만원,250, 없음 ,8천,-선택사항- ,-선택사항-     ,4000,8000,35,250,0
서울 성동구 구의동,440, 42 개, 42 개,1 대,4천 만원,475,60,합3억3천,-선택사항- ,-선택사항-     ,4000,33000,42,475,60
서울 성북구 00동,430,  개,  개,00 대, 만원,450,0,합,-선택사항- ,-선택사항-     ,0,0,0,450,0
서울 서대문구 00동,199.68, 31 개,  개,00 대,2000 만원,250,0,11000,-선택사항- ,-선택사항-     ,2000,11000,31,250,0
서울 동작구 노량진동,122.5, 39 개, 39 개,X 대,5천 만원,460, 없음 ,2억7천,-선택사항- ,-선택사항-     ,5000,27000,39,460,0
서울 마포구 합정동,360, 40 개, 17 개,1 대,5천 만원,390,20,합1억7천,-선택사항- ,-선택사항-     ,5000,17000,40,390,20
서울 종로구 종각,600, 93 개, 43 개,00 대,2억 만원,1350,0,권리금,-선택사항- ,-선택사항-     ,20000,20000,93,1350,0
서울 송파구 00동,320, 36 개, 22 개,00 대,6000 만원,495,0,2억4천,-선택사항- ,-선택사항-     ,6000,24000,36,495,0
서울 송파구 00동,320, 36 개, 22 개,00 대,6천 만원,495,0,2억4천,-선택사항- ,-선택사항-     ,6000,24000,36,495,0
서울 강남구 00동,143.08,  개,  개,00 대,6000 만원,450,0,23000,-선택사항- ,-선택사항-     ,6000,23000,0,450,0
서울 강남구 00동,247.24, 상담 개,  개,00 대,7000 만원,770, 없음 ,38000,-선택사항- ,-선택사항-     ,7000,38000,0,770,0
서울 중구 00동,360, 34 개, 0 개,00 대,5000 만원,430,0,2억8000,-선택사항- ,-선택사항-     ,5000,28000,34,430,0
서울 강동구 00동,429, 43 개, 43 개,2 대,4000 만원,520,0,3억3000,-선택사항- ,-선택사항-     ,4000,33000,43,520,0
서울 동대문구 청량리동,143.64, 22 개, 3 개,X 대,2천 만원,165, 없음 ,5천,-선택사항- ,-선택사항-     ,2000,5000,22,165,0
서울 구로구 오류동,261.8, 44 개, 6 개,00 대,3000 만원,300,5,15000,-선택사항- ,-선택사항-     ,3000,15000,44,300,5
서울 광진구 00동,300, 34 개,  개,3 대,5000 만원,200, 없음 ,1억,-선택사항- ,-선택사항-     ,5000,10000,34,200,0
서울 구로구 오류동,335.2, 38 개, 6 개,00 대,5000 만원,297,60,13000,-선택사항- ,-선택사항-     ,5000,13000,38,297,60
서울 영등포구 신길동,380, 57 개, 7 개,00 대,5000 만원,385,0,12000,-선택사항- ,-선택사항-     ,5000,12000,57,385,0
서울 동작구 00동,100,  개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,0,510,0
서울 강동구 00동,120,  개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,0,550,0
서울 종로구 00동,100, 36 개,  개,00 대,8000 만원,450,0,18000,-선택사항- ,-선택사항-     ,8000,18000,36,450,0
서울 영등포구 대림동,348.94, 34 개, 6 개,00 대,7000 만원,360,15,15000,-선택사항- ,-선택사항-     ,7000,15000,34,360,15
서울 동대문구 동대문동,340, 23 개, 23 개,1 대,5000 만원,300,0,2억3천,-선택사항- ,-선택사항-     ,5000,23000,23,300,0
서울 강서구 강서구,105평 ,  개,  개,1 대, 만원,290,0,1억5천,-선택사항- ,-선택사항-     ,0,15000,0,290,0
서울 동작구 동작구,132평 , 46 개,  개,00 대,9천 만원,320, X ,2억8천,-선택사항- ,-선택사항-     ,9000,28000,46,320,0
서울 동작구 동작구,132평 , 46 개,  개,00 대,9천 만원,320, X ,2억8천,-선택사항- ,-선택사항-     ,9000,28000,46,320,0
서울 송파구 00동,496.97, 43 개,  개,00 대, 만원,700,0,51000,-선택사항- ,-선택사항-     ,0,51000,43,700,0
서울 관악구 신림동,224.42, 34 개, 6 개,00 대,3000 만원,317,0,6000,-선택사항- ,-선택사항-     ,3000,6000,34,317,0
서울 관악구 봉천동,192.92, 33 개, 6 개,00 대,2000 만원,195,0,7000,-선택사항- ,-선택사항-     ,2000,7000,33,195,0
서울 동작구 00동,328, 35 개, 35 개,00 대,1억5천 만원,470,30,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30
서울 송파구 00동,300, 30 개, 30 개,00 대,4천 만원,400,50,2억3천,-선택사항- ,-선택사항-     ,4000,23000,30,400,50
서울 서대문구 00동,285, 44 개, 4 개,00 대,7000 만원,310,0,시설비1200,-선택사항- ,-선택사항-     ,7000,1200,44,310,0
서울 종로구 00동,250,  개,  개,00 대,8000 만원,520,0,1억8000,-선택사항- ,-선택사항-     ,8000,18000,0,520,0
서울 영등포구 00동,330, 35 개, 29 개,00 대,7000 만원,390,0,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0
서울 종로구 00동,400, 55 개, 42 개,1 대,9000 만원,580,50,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50
서울 관악구 00동,330, 36 개, 25 개,00 대,4000 만원,450,0,2억,-선택사항- ,-선택사항-     ,4000,20000,36,450,0
서울 광진구 중곡동,330, 34 개, 원17 개,1 대,5천 만원,360,30,합1억2천,-선택사항- ,-선택사항-     ,5000,12000,34,360,30
서울 성동구 구의동,440, 42 개, 원42 개,1 대,4천 만원,475,60,합3억4천,-선택사항- ,-선택사항-     ,4000,34000,42,475,60
서울 동작구 동작동,440, 24 개, 큰24 개,1 대,8천 만원,280,20,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,20
서울 강남구 강남구,168평 , 51 개,  개,00 대,1억 만원,950,0,3억9천,-선택사항- ,-선택사항-     ,10000,39000,51,950,0
서울 강서구 강서구,110평 ,  개,  개,00 대,2천5백 만원,290,0,1억5천,-선택사항- ,-선택사항-     ,2500,15000,0,290,0
서울 구로구 구로동,360, 40 개, 원26 개,1 대,4천 만원,350,30,합1억8천,-선택사항- ,-선택사항-     ,4000,18000,40,350,30
서울 송파구 송파구,126평 ,  개,  개,00 대,5천 만원,380,0,3억3천,-선택사항- ,-선택사항-     ,5000,33000,0,380,0
서울 마포구 합정동,360, 40 개, 17 개,1 대,5천 만원,380,20,합1억7천,-선택사항- ,-선택사항-     ,5000,17000,40,380,20
서울 강남구 서초구,410, 28 개, 큰28 개,1 대,7천 만원,510,40,합2억2천,-선택사항- ,-선택사항-     ,7000,22000,28,510,40
서울 강남구 강남구,182평 ,  개,  개,00 대,1억 만원,880,0,4억3천,-선택사항- ,-선택사항-     ,10000,43000,0,880,0
서울 강남구 서초동,390, 40 개, 원25 개,1 대,6천 만원,480,30,합1억9500,-선택사항- ,-선택사항-     ,6000,19500,40,480,30
서울 영등포구 00동,223.4, 39 개, 15 개,00 대,9000 만원,470, 사용량에따라 ,1억7천,-선택사항- ,-선택사항-     ,9000,17000,39,470,0
서울 동대문구 회기동,340, 31 개, 22 개,0대 대,5000 만원,332, 별도 ,18000,-선택사항- ,-선택사항-     ,5000,18000,31,332,0
서울 서초구 00동,404.22, 50 개, 32 개,6 대,8500 만원,520,46,2억2천,-선택사항- ,-선택사항-     ,8500,22000,50,520,46
서울 송파구 00동,320, 35 개, 22 개,00 대,6000 만원,520,0,2억4천,-선택사항- ,-선택사항-     ,6000,24000,35,520,0
서울 구로구 00동,320, 35 개, 29 개,00 대,8000 만원,400,0,1억7천,-선택사항- ,-선택사항-     ,8000,17000,35,400,0
서울 서대문구 00동,430, 40 개, 40 개,00 대,1억2천 만원,600,0,3억5천,-선택사항- ,-선택사항-     ,12000,35000,40,600,0
서울 송파구 00동,320, 35 개, 22 개,00 대,6000 만원,520,0,2억4천,-선택사항- ,-선택사항-     ,6000,24000,35,520,0
서울 광진구 00동,244.15, 34 개, 6 개,00 대,3천 만원, 270만 , 2만 ,6천,-선택사항- ,-선택사항-     ,3000,6000,34,270,2
서울 강동구 길동,240.3, 28 개, 17 개,X 대,3천 만원,264, 없음 ,1억7천,-선택사항- ,-선택사항-     ,3000,17000,28,264,0
서울 송파구 00동,420, 41 개, 41 개,00 대,6000 만원,700,0,3억5천,-선택사항- ,-선택사항-     ,6000,35000,41,700,0
서울 종로구 명륜동,650, 49 개, 49 개,없음 대,6000 만원,650, 별도 ,35000,-선택사항- ,-선택사항-     ,6000,35000,49,650,0
서울 동작구 노량진동,360, 55 개, 30 개,없음 대,9000 만원,500, 별도 ,37000,-선택사항- ,-선택사항-     ,9000,37000,55,500,0
서울 서초구 양재동,350, 35 개, 16 개,없음 대,3200 만원,392, 별도 ,25000,-선택사항- ,-선택사항-     ,3200,25000,35,392,0
서울 송파구 풍납동,155.26, 37 개, 4 개,X 대,3천5백 만원,350, 없음 ,1억5천5백,-선택사항- ,-선택사항-     ,3500,15500,37,350,0
서울 성동구 용답동,154, 32 개, 32 개,1 대,4천 만원,280, 20만원 ,2억7천,-선택사항- ,-선택사항-     ,4000,27000,32,280,20
서울 송파구 송파동,262.86, 31 개, 31 개,00 대,4천 만원, 388부별 ,38,2억4천,-선택사항- ,-선택사항-     ,4000,24000,31,388,38
서울 영등포구 영등포동,194.19, 39 개, 38 개,1 대,1억 만원,665, 포함 ,1억7천,-선택사항- ,-선택사항-     ,10000,17000,39,665,0
서울 도봉구 00동,70평 ,  개,  개,00 대,3000 만원,200,0,18000,-선택사항- ,-선택사항-     ,3000,18000,0,200,0
서울 강남구 00동,130평 , 40↑ 개,  개,00 대, 만원,680,0,3억5천,-선택사항- ,-선택사항-     ,0,35000,40,680,0
서울 도봉구 00동,90평 ,  개,  개,00 대,7000 만원,300,0,13000,-선택사항- ,-선택사항-     ,7000,13000,0,300,0
서울 성북구 00동,290, 47 개,  개,00 대,3000 만원,150,0,13000,-선택사항- ,-선택사항-     ,3000,13000,47,150,0
서울 성북구 00동,840, 37 개,  개,00 대,2000 만원,320,0,14000,-선택사항- ,-선택사항-     ,2000,14000,37,320,0
서울 동대문구 00동,85평 ,  개,  개,00 대,2000 만원,275,0,15000,-선택사항- ,-선택사항-     ,2000,15000,0,275,0
서울 동대문구 00동,120평 ,  개,  개,00 대,5000 만원,500,0,31000,-선택사항- ,-선택사항-     ,5000,31000,0,500,0
서울 동대문구 회기동,104.31, 40 개, 37 개,X 대,5천 만원,440,None,3억2천,-선택사항- ,-선택사항-     ,5000,32000,40,440,0
서울 서대문구 00동,240, 36 개,  개,00 대,4000 만원,450,0,21000,-선택사항- ,-선택사항-     ,4000,21000,36,450,0
서울 동대문구 00동,110평 ,  개,  개,00 대,6500 만원,505,25,7500,-선택사항- ,-선택사항-     ,6500,7500,0,505,25
서울 송파구 00동,299, 31 개,  개,00 대,5천 만원,400,0,2억3천,-선택사항- ,-선택사항-     ,5000,23000,31,400,0
서울 송파구 00동,295, 31 개,  개,00 대,4천 만원,450,0,2억3천,-선택사항- ,-선택사항-     ,4000,23000,31,450,0
서울 강남구 00동,211.8, 35 개, 16 개,없음 대,3000 만원,440,440,25000,-선택사항- ,-선택사항-     ,3000,25000,35,440,440
서울 마포구 00동,300.36,  개,  개,00 대,5000 만원,500, 없음 ,26000,-선택사항- ,-선택사항-     ,5000,26000,0,500,0
서울 마포구 00동,300.36,  개,  개,00 대,5000 만원,500, 없음 ,26000,-선택사항- ,-선택사항-     ,5000,26000,0,500,0
서울 강동구 00동,250,  개,  개,00 대,3000 만원,270,0,16000,-선택사항- ,-선택사항-     ,3000,16000,0,270,0
서울 강동구 00동,370, 58 개,  개,00 대, 만원,330,0,13000,-선택사항- ,-선택사항-     ,0,13000,58,330,0
서울 관악구 신림동,227.11, 35 개, 14 개,00 대,5000 만원,330,40,17000,-선택사항- ,-선택사항-     ,5000,17000,35,330,40
